"GEO_ID","NAME","P9_001N","P9_002N","P9_003N","P9_004N","P9_005N","P9_006N","P9_007N","P9_008N","P9_009N","P9_010N","P9_011N","P9_012N","P9_013N","P9_014N","P9_015N","P9_016N","P9_017N","P9_018N","P9_019N","P9_020N","P9_021N","P9_022N","P9_023N","P9_024N","P9_025N","P9_026N","P9_027N","P9_028N","P9_029N","P9_030N","P9_031N","P9_032N","P9_033N","P9_034N","P9_035N","P9_036N","P9_037N","P9_038N","P9_039N","P9_040N","P9_041N","P9_042N","P9_043N","P9_044N","P9_045N","P9_046N","P9_047N","P9_048N","P9_049N","P9_050N","P9_051N","P9_052N","P9_053N","P9_054N","P9_055N","P9_056N","P9_057N","P9_058N","P9_059N","P9_060N","P9_061N","P9_062N","P9_063N","P9_064N","P9_065N","P9_066N","P9_067N","P9_068N","P9_069N","P9_070N","P9_071N","P9_072N","P9_073N",
"1600000US0600478","Ahwahnee CDP, California","2296","262","2034","1904","1825","8","31","23","0","17","130","130","3","42","23","0","59","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600535","Airport CDP, California","1389","976","413","363","289","31","11","30","0","2","50","38","7","15","5","0","4","2","2","0","0","0","0","0","0","1","2","12","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600562","Alameda city, California","78280","9435","68845","62743","32152","4399","173","25107","356","556","6102","5663","737","510","2906","146","701","86","248","23","62","16","6","7","157","51","7","401","88","93","2","18","54","6","1","96","8","3","5","2","3","14","3","0","1","0","0","4","37","13","0","5","5","1","0","8","0","0","5","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US0600618","Alamo CDP, California","15314","1115","14199","13407","11379","114","16","1784","17","97","792","757","48","120","399","20","152","2","4","0","3","1","0","0","4","3","1","31","2","7","0","0","5","0","0","15","0","0","1","0","0","0","0","0","0","0","0","1","4","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600674","Albany city, California","20271","2665","17606","15973","8945","691","17","6143","9","168","1633","1522","180","83","903","11","202","6","32","34","11","6","0","0","28","21","5","98","18","21","1","14","11","1","0","17","3","1","4","1","3","0","1","0","0","2","0","0","9","3","0","0","4","0","0","2","0","0","0","0","0","0","0","0","4","3","0","1","0","0","0","0","0",
"1600000US0600716","Albion CDP, California","153","6","147","145","142","0","1","0","2","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600786","Alderpoint CDP, California","137","22","115","102","86","0","12","2","1","1","13","11","0","9","0","0","2","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600884","Alhambra city, California","82868","29910","52958","51352","6942","1345","137","42552","70","306","1606","1459","157","97","790","23","96","25","85","9","30","19","1","6","64","55","2","125","24","25","1","16","16","1","4","21","1","0","1","1","1","5","4","0","3","1","0","0","20","14","0","1","1","0","0","4","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0",
"1600000US0600898","Alhambra Valley CDP, California","805","100","705","656","608","11","1","27","3","6","49","44","7","10","20","0","4","0","1","0","0","0","0","0","1","1","0","5","0","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600947","Aliso Viejo city, California","52176","9836","42340","39028","29044","949","48","8509","155","323","3312","3104","399","334","1678","77","432","15","37","14","16","7","1","3","73","18","0","195","33","16","0","20","26","5","4","77","8","0","1","0","1","4","0","0","0","0","0","0","13","2","0","6","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
