NAME,P9_001N,P9_002N,HISPANIC_PCT
Geographic Area Name,Total,Total:Hispanic or Latino,Hispanic or Latino Percentage
"Cotati city, California",7584,1720,22.68
"Coto de Caza CDP, California",14710,1522,10.35
"Cottonwood CDP (Kern County), California",3971,3114,78.42
"Cottonwood CDP (Shasta County), California",6268,694,11.07
"Coulterville CDP, California",115,13,11.3
"Country Club CDP, California",10777,5459,50.65
"Courtland CDP, California",326,176,53.99
"Covelo CDP, California",1394,488,35.01
"Covina city, California",51268,30108,58.73
"Cowan CDP, California",342,227,66.37
"Crane Creek CDP, California",29,1,3.45
"Crescent City city, California",6673,2181,32.68
"Crescent Mills CDP, California",206,22,10.68
"Cressey CDP, California",366,206,56.28
"Crest CDP, California",2828,582,20.58
"Crestline CDP, California",11650,2823,24.23
"Creston CDP, California",98,33,33.67
"C-Road CDP, California",140,3,2.14
"Crockett CDP, California",3242,625,19.28
"Cromberg CDP, California",272,35,12.87
"Crowley Lake CDP, California",980,182,18.57
"Crows Landing CDP, California",322,243,75.47
"Cudahy city, California",22811,21872,95.88
"Culver City city, California",40779,8732,21.41
"Cupertino city, California",60381,2330,3.86
"Cutler CDP, California",4480,4309,96.18
"Cutten CDP, California",3223,365,11.32
"Cuyama CDP, California",37,17,45.95
"Cypress city, California",50151,10689,21.31
"Dales CDP, California",28,4,14.29
"Daly City city, California",104901,25237,24.06
"Dana Point city, California",33107,6294,19.01
"Danville town, California",43582,3952,9.07
"Daphnedale Park CDP, California",129,9,6.98
"Darwin CDP, California",36,0,0.0
"Davenport CDP, California",388,152,39.18
"Davis city, California",66850,11343,16.97
"Day Valley CDP, California",3410,641,18.8
"Deer Park CDP, California",1294,251,19.4
"Del Aire CDP, California",10338,4877,47.18
"Delano city, California",51428,38453,74.77
"Del Dios CDP, California",396,42,10.61
"Delft Colony CDP, California",412,389,94.42
"Delhi CDP, California",10656,8497,79.74
"Delleker CDP, California",802,236,29.43
"Del Mar city, California",3954,274,6.93
"Del Monte Forest CDP, California",4204,241,5.73
"Del Rey CDP, California",1358,1207,88.88
"Del Rey Oaks city, California",1592,244,15.33
"Del Rio CDP, California",1399,221,15.8
"Denair CDP, California",4865,1772,36.42
"Derby Acres CDP, California",301,52,17.28
"Descanso CDP, California",1499,230,15.34
"Desert Center CDP, California",256,71,27.73
"Desert Edge CDP, California",4180,1649,39.45
"Desert Hot Springs city, California",32512,19887,61.17
"Desert Palms CDP, California",6686,258,3.86
"Desert Shores CDP, California",1128,1009,89.45
"Desert View Highlands CDP, California",2676,1675,62.59
"Diablo CDP, California",1255,80,6.37
"Diablo Grande CDP, California",1669,614,36.79
"Diamond Bar city, California",55072,10803,19.62
"Diamond Springs CDP, California",11345,1775,15.65
"Di Giorgio CDP, California",400,393,98.25
"Dillon Beach CDP, California",246,17,6.91
"Dinuba city, California",24563,21599,87.93
"Discovery Bay CDP, California",15358,2865,18.65
"Dixon city, California",18988,8302,43.72
"Dixon Lane-MeadowCreek CDP, California",2780,818,29.42
"Dobbins CDP, California",551,68,12.34
"Dogtown CDP, California",2516,655,26.03
"Dollar Point CDP, California",1261,86,6.82
"Dorrington CDP, California",519,45,8.67
"Dorris city, California",860,339,39.42
"Dos Palos city, California",5798,4184,72.16
"Dos Palos Y CDP, California",310,219,70.65
"Douglas City CDP, California",868,53,6.11
"Downey city, California",114355,85866,75.09
"Downieville CDP, California",290,30,10.34
"Doyle CDP, California",536,37,6.9
"Drytown CDP, California",186,10,5.38
"Duarte city, California",21727,10436,48.03
"Dublin city, California",72589,8351,11.5
"Ducor CDP, California",616,558,90.58
"Dunnigan CDP, California",1382,764,55.28
"Dunsmuir city, California",1707,202,11.83
"Durham CDP, California",5834,811,13.9
"Dustin Acres CDP, California",677,160,23.63
"Dutch Flat CDP, California",183,21,11.48
"Eagleville CDP, California",45,3,6.67
"Earlimart CDP, California",7679,7045,91.74
"East Bakersfield CDP, California",9749,8299,85.13
"Eastern Goleta Valley CDP, California",28656,7458,26.03
"East Foothills CDP, California",6803,2205,32.41
"East Hemet CDP, California",19432,10232,52.66
"East Los Angeles CDP, California",118786,113036,95.16
"East Nicolaus CDP, California",223,53,23.77
"East Niles CDP, California",28390,22905,80.68
"East Oakdale CDP, California",3201,452,14.12
"Easton CDP, California",1972,1330,67.44
"East Orosi CDP, California",423,396,93.62
"East Palo Alto city, California",30034,19964,66.47
"East Pasadena CDP, California",6021,2174,36.11
"East Porterville CDP, California",5549,4474,80.63
"East Quincy CDP, California",2463,221,8.97
"East Rancho Dominguez CDP, California",15114,12857,85.07
"East Richmond Heights CDP, California",3460,511,14.77
"East San Gabriel CDP, California",22769,6218,27.31
"East Shore CDP, California",181,13,7.18
"East Sonora CDP, California",2431,231,9.5
"East Tulare Villa CDP, California",773,491,63.52
"Eastvale city, California",69757,26164,37.51
"East Whittier CDP, California",10394,5934,57.09
"Edgewood CDP, California",72,12,16.67
"Edison CDP, California",255,157,61.57
"Edmundson Acres CDP, California",296,231,78.04
"Edna CDP, California",184,20,10.87
"Edwards AFB CDP, California",2135,421,19.72
"El Adobe CDP, California",391,287,73.4
"El Cajon city, California",106215,31271,29.44
"El Centro city, California",44322,38566,87.01
"El Centro Naval Air Facility CDP, California",280,98,35.0
"El Cerrito city, California",25962,3075,11.84
"El Cerrito CDP, California",5058,2858,56.5
"El Dorado Hills CDP, California",50547,5494,10.87
"Eldridge CDP, California",1312,550,41.92
"Elfin Forest CDP, California",600,63,10.5
"El Granada CDP, California",5481,773,14.1
"Elizabeth Lake CDP, California",1651,339,20.53
"Elk Creek CDP, California",138,8,5.8
"Elk Grove city, California",176124,33392,18.96
"Elkhorn CDP, California",1588,753,47.42
"El Macero CDP, California",1074,89,8.29
"Elmira CDP, California",193,60,31.09
"El Monte city, California",109450,70819,64.7
"El Monte Mobile Village CDP, California",156,148,94.87
"El Nido CDP, California",331,264,79.76
"El Paso de Robles (Paso Robles) city, California",31490,11958,37.97
"El Portal CDP, California",372,36,9.68
"El Rancho CDP, California",96,85,88.54
"El Rio CDP, California",7037,6249,88.8
"El Segundo city, California",17272,2976,17.23
"El Sobrante CDP (Contra Costa County), California",15524,4646,29.93
"El Sobrante CDP (Riverside County), California",14039,4403,31.36
"El Verano CDP, California",3867,1531,39.59
"Elverta CDP, California",5435,1090,20.06
"Emerald Lake Hills CDP, California",4406,348,7.9
"Emeryville city, California",12905,1435,11.12
"Empire CDP, California",4202,2541,60.47
"Encinitas city, California",62007,9357,15.09
"Escalon city, California",7472,2330,31.18
"Escondido city, California",151038,78226,51.79
"Esparto CDP, California",3572,2038,57.05
"Etna city, California",678,39,5.75
"Eucalyptus Hills CDP, California",5517,970,17.58
"Eureka city, California",26512,4014,15.14
"Exeter city, California",10321,5287,51.23
"Fairbanks Ranch CDP, California",3002,206,6.86
"Fairfax CDP, California",1879,1460,77.7
"Fairfax town, California",7605,878,11.55
"Fairfield city, California",119881,36723,30.63
"Fairhaven CDP, California",165,7,4.24
"Fairmead CDP, California",1235,875,70.85
"Fair Oaks CDP, California",32514,4128,12.7
"Fairview CDP, California",11341,3020,26.63
"Fallbrook CDP, California",32267,16040,49.71
"Fall River Mills CDP, California",616,84,13.64
"Farmersville city, California",10397,9142,87.93
"Farmington CDP, California",220,86,39.09
"Fellows CDP, California",52,1,1.92
"Felton CDP, California",4489,597,13.3
"Ferndale city, California",1398,115,8.23
"Fetters Hot Springs-Agua Caliente CDP, California",4233,2203,52.04
"Fiddletown CDP, California",279,40,14.34
"Fieldbrook CDP, California",827,46,5.56
"Fields Landing CDP, California",287,47,16.38
"Fillmore city, California",16419,12593,76.7
"Firebaugh city, California",8096,7486,92.47
"Fish Camp CDP, California",49,5,10.2
"Florence-Graham CDP, California",61983,56300,90.83
"Florin CDP, California",52388,15033,28.7
"Floriston CDP, California",80,3,3.75
"Flournoy CDP, California",117,22,18.8
"Folsom city, California",80454,10503,13.05
"Fontana city, California",208393,141269,67.79
"Foothill Farms CDP, California",35834,8319,23.22
"Forbestown CDP, California",396,45,11.36
"Ford City CDP, California",4348,2736,62.93
"Foresthill CDP, California",1692,161,9.52
"Forest Meadows CDP, California",1276,99,7.76
"Forest Ranch CDP, California",1304,108,8.28
"Forestville CDP, California",3264,454,13.91
"Fort Bidwell CDP, California",180,18,10.0
"Fort Bragg city, California",6983,2235,32.01
"Fort Dick CDP, California",912,73,8.0
"Fort Hunter Liggett CDP, California",250,54,21.6
"Fort Irwin CDP, California",8096,2139,26.42
"Fort Jones city, California",695,92,13.24
"Fortuna city, California",12516,2590,20.69
"Fort Washington CDP, California",255,46,18.04
"Foster City city, California",33805,2421,7.16
"Fountain Valley city, California",57047,8837,15.49
"Fowler city, California",6700,4446,66.36
"Franklin CDP (Merced County), California",6919,4152,60.01
"Franklin CDP (Sacramento County), California",167,48,28.74
"Frazier Park CDP, California",2592,681,26.27
"Freedom CDP, California",3835,2920,76.14
"Freeport CDP, California",58,18,31.03
"Fremont city, California",230504,29016,12.59
"French Camp CDP, California",3770,2357,62.52
"French Gulch CDP, California",373,19,5.09
"French Valley CDP, California",35280,10675,30.26
"Fresno city, California",542107,273771,50.5
"Friant CDP, California",446,82,18.39
"Fruitdale CDP, California",989,273,27.6
"Fruitridge Pocket CDP, California",6102,2831,46.39
"Fuller Acres CDP, California",917,769,83.86
"Fullerton city, California",143617,54225,37.76
"Fulton CDP, California",551,241,43.74
"Furnace Creek CDP, California",136,33,24.26
"Galt city, California",25383,11588,45.65
"Garberville CDP, California",818,85,10.39
"Gardena city, California",61027,24503,40.15
"Garden Acres CDP, California",11398,8863,77.76
"Garden Farms CDP, California",449,58,12.92
"Garden Grove city, California",171949,64102,37.28
"Garey CDP, California",72,18,25.0
"Garnet CDP, California",7118,5456,76.65
"Gasquet CDP, California",657,43,6.54
"Gazelle CDP, California",95,7,7.37
"Georgetown CDP, California",2255,232,10.29
"Gerber CDP, California",1044,582,55.75
"Geyserville CDP, California",861,342,39.72
"Gilroy city, California",59520,33650,56.54
"Glendale city, California",196543,33575,17.08
"Glendora city, California",52558,19017,36.18
"Glen Ellen CDP, California",714,91,12.75
"Glennville CDP, California",158,4,2.53
"Golden Hills CDP, California",9578,2332,24.35
"Gold Mountain CDP, California",73,2,2.74
"Gold River CDP, California",7844,657,8.38
"Goleta city, California",32690,11552,35.34
"Gonzales city, California",8647,7945,91.88
"Good Hope CDP, California",9468,8161,86.2
"Goodmanville CDP, California",121,14,11.57
"Goodyears Bar CDP, California",69,7,10.14
"Goshen CDP, California",4968,3862,77.74
"Graeagle CDP, California",724,31,4.28
"Grand Terrace city, California",13150,6297,47.89
"Grangeville CDP, California",508,171,33.66
"Granite Bay CDP, California",21247,1901,8.95
"Granite Hills CDP, California",3267,633,19.38
"Graniteville CDP, California",1,0,0.0
"Grass Valley city, California",14016,1728,12.33
"Graton CDP, California",1683,298,17.71
"Grayson CDP, California",1041,928,89.15
"Greeley Hill CDP, California",927,114,12.3
"Greenacres CDP, California",5496,1467,26.69
"Green Acres CDP, California",2918,1754,60.11
"Greenfield CDP, California",3447,2470,71.66
"Greenfield city, California",18937,17804,94.02
"Greenhorn CDP, California",247,22,8.91
"Green Valley CDP (Los Angeles County), California",1036,183,17.66
"Green Valley CDP (Solano County), California",1654,168,10.16
"Greenview CDP, California",208,22,10.58
"Greenville CDP, California",1026,89,8.67
"Grenada CDP, California",314,24,7.64
"Gridley city, California",7421,3633,48.96
"Grimes CDP, California",296,196,66.22
"Grizzly Flats CDP, California",1093,99,9.06
"Groveland CDP, California",540,44,8.15
"Grover Beach city, California",12701,3979,31.33
"Guadalupe city, California",8057,7098,88.1
"Guerneville CDP, California",4552,723,15.88
"Guinda CDP, California",245,67,27.35
"Gustine city, California",6110,3811,62.37
"Hacienda Heights CDP, California",54191,24354,44.94
"Half Moon Bay city, California",11795,3504,29.71
