NAME,P9_001N,P9_002N,HISPANIC_PCT
Onyx,457,61,13.35
Orange,139911,57575,41.15
Orange Blossom,1068,171,16.01
Orange Cove,9649,9159,94.92
Orangevale,35569,4645,13.06
Orcutt,32034,10570,33.0
Orick,328,30,9.15
Orinda,19514,1285,6.59
Orland,8298,4443,53.54
Orosi,8329,7418,89.06
Oroville,20042,3267,16.3
Oroville East,8038,908,11.3
Oxnard,202063,150984,74.72
Pacheco,4183,1329,31.77
Pacifica,38640,7363,19.06
Pacific Grove,15090,2146,14.22
Pajaro,2882,2744,95.21
Pajaro Dunes,122,46,37.7
Pala,1490,602,40.4
Palermo,5555,1401,25.22
Palmdale,169450,104742,61.81
Palm Desert,51163,13315,26.02
Palm Springs,44575,11054,24.8
Palo Alto,68572,5091,7.42
Palo Cedro,2931,207,7.06
Palos Verdes Estates,13347,1003,7.51
Palo Verde,152,33,21.71
Panorama Heights,44,5,11.36
Paradise,4764,419,8.8
Paradise,174,15,8.62
Paradise Park,367,29,7.9
Paramount,53733,43620,81.18
Parklawn,1249,1077,86.23
Parksdale,3234,2912,90.04
Parkway,15962,7012,43.93
Parkwood,2307,1929,83.62
Parlier,14576,14227,97.61
Pasadena,138699,45742,32.98
Pasatiempo,1093,85,7.78
Paskenta,110,5,4.55
Patterson,23781,14961,62.91
Patterson Tract,1888,1301,68.91
Patton Village,632,79,12.5
Paxton,0,0,N/A
Paynes Creek,54,6,11.11
Pearsonville,8,2,25.0
Penngrove,2637,442,16.76
Penn Valley,1593,172,10.8
Penryn,1150,117,10.17
Pepperdine University,2747,136,4.95
Perris,78700,59571,75.69
Pescadero,595,356,59.83
Petaluma,59776,13606,22.76
Petaluma Center,709,163,22.99
Peters,708,182,25.71
Phelan,13859,5364,38.7
Phillipsville,124,22,17.74
Philo,319,209,65.52
Phoenix Lake,4264,352,8.26
Pico Rivera,62088,56249,90.6
Piedmont,11270,729,6.47
Pierpoint,59,6,10.17
Pike,159,11,6.92
Pine Canyon,1871,1207,64.51
Pine Flat,206,6,2.91
Pine Grove,2891,287,9.93
Pine Hills,3186,340,10.67
Pine Mountain Club,2422,396,16.35
Pine Mountain Lake,2636,217,8.23
Pine Valley,1645,235,14.29
Pinole,19022,5093,26.77
Piñon Hills,7258,2137,29.44
Pioneer,1066,109,10.23
Piru,2587,2315,89.49
Pismo Beach,8072,978,12.12
Pittsburg,76416,32300,42.27
Pixley,3828,3315,86.6
Placentia,51824,19691,38.0
Placerville,10747,2015,18.75
Plainview,846,800,94.56
Planada,4164,3858,92.65
Platina,13,3,23.08
Pleasant Hill,34613,4957,14.32
Pleasanton,79871,7882,9.87
Pleasure Point,5821,1287,22.11
Plumas Eureka,334,23,6.89
Plumas Lake,8126,1978,24.34
Plymouth,1078,263,24.4
Point Arena,460,141,30.65
Point Reyes Station,895,183,20.45
Pollock Pines,7112,979,13.77
Pomona,151713,108044,71.22
Ponderosa,51,6,11.76
Poplar-Cotton Center,2370,1780,75.11
Port Costa,190,18,9.47
Porterville,62623,43542,69.53
Port Hueneme,21954,12645,57.6
Portola,2100,402,19.14
Portola Valley,4456,230,5.16
Posey,23,2,8.7
Poso Park,9,0,0.0
Post Mountain,3032,108,3.56
Potomac Park,9164,8300,90.57
Potrero,648,531,81.94
Potter Valley,665,146,21.95
Poway,48841,9017,18.46
Prattville,24,0,0.0
Princeton,309,93,30.1
Proberta,237,90,37.97
Prunedale,18885,9869,52.26
Pumpkin Center,421,279,66.27
Quartz Hill,11447,3988,34.84
Quincy,1630,117,7.18
Rackerby,210,22,10.48
Rail Road Flat,316,28,8.86
Rainbow,1884,717,38.06
Raisin City,303,266,87.79
Ramona,21468,7102,33.08
Rancho Calaveras,5590,944,16.89
Rancho Cordova,79332,17119,21.58
Rancho Cucamonga,174453,65261,37.41
Rancho Mirage,16999,2260,13.29
Rancho Mission Viejo,10378,1535,14.79
Rancho Murieta,5903,617,10.45
Rancho Palos Verdes,42287,4535,10.72
Rancho San Diego,21858,3575,16.36
Rancho Santa Fe,3156,261,8.27
Rancho Santa Margarita,47949,10297,21.47
Rancho Tehama Reserve,1572,413,26.27
Randsburg,45,4,8.89
Red Bluff,14710,3597,24.45
Red Corral,1687,179,10.61
Redcrest,61,0,0.0
Redding,93611,10490,11.21
Redlands,73168,25746,35.19
Redondo Beach,71576,12497,17.46
Redway,1247,218,17.48
Redwood City,84292,30104,35.71
Redwood Valley,1843,488,26.48
Reedley,25227,19966,79.15
Reliez Valley,3354,271,8.08
Rexland Acres,3563,3061,85.91
Rialto,104026,77345,74.35
Richfield,309,69,22.33
Richgrove,2358,2243,95.12
Richmond,116448,51912,44.58
Richvale,234,33,14.1
Ridgecrest,27959,6124,21.9
Ridgecrest Heights,380,102,26.84
Ridgemark,3212,1008,31.38
Rio Dell,3379,487,14.41
Rio del Mar,9128,1202,13.17
Rio Linda,15944,4278,26.83
Rio Oso,372,61,16.4
Rio Vista,10005,1602,16.01
Ripley,538,396,73.61
Ripon,16013,3999,24.97
Riverbank,24865,13958,56.14
Riverdale,3477,2591,74.52
Riverdale Park,1053,688,65.34
Rivergrove,195,25,12.82
River Pines,390,34,8.72
Riverside,314998,172386,54.73
Robbins,347,224,64.55
Robinson Mill,89,13,14.61
Rocklin,71601,9944,13.89
Rodeo,9653,2859,29.62
Rodriguez Camp,133,127,95.49
Rohnert Park,44390,13131,29.58
Rolling Hills,1739,122,7.02
Rolling Hills,793,185,23.33
Rolling Hills Estates,8280,640,7.73
Rollingwood,3015,2039,67.63
Romoland,2005,1173,58.5
Rosamond,20961,9025,43.06
Rosedale,18639,4425,23.74
Rose Hills,2927,1801,61.53
Rosemead,51185,15906,31.08
Rosemont,23510,5588,23.77
Roseville,147773,24057,16.28
Ross,2338,130,5.56
Rossmoor,10625,1628,15.32
Rough and Ready,905,67,7.4
Round Mountain,160,14,8.75
Round Valley,482,123,25.52
Rouse,1913,1377,71.98
Rowland Heights,48231,13515,28.02
Rumsey,91,15,16.48
Running Springs,5268,1062,20.16
Ruth,254,8,3.15
Rutherford,115,57,49.57
Sacramento,524943,151253,28.81
Sage,3370,983,29.17
St. Helena,5430,1863,34.31
Salida,13886,7619,54.87
Salinas,163542,130178,79.6
Salmon Creek,111,18,16.22
Salton City,5155,4120,79.92
Salton Sea Beach,508,359,70.67
Salyer,389,24,6.17
Samoa,229,19,8.3
San Andreas,2994,364,12.16
San Anselmo,12830,1180,9.2
San Antonio Heights,3441,858,24.93
San Ardo,392,310,79.08
San Bernardino,222101,151125,68.04
San Bruno,43908,12282,27.97
Ventura,110763,38902,35.12
San Carlos,30722,3416,11.12
San Clemente,64293,11679,18.17
Sand City,325,96,29.54
San Diego,1386932,411286,29.65
San Diego Country Estates,10395,1713,16.48
San Dimas,34924,12945,37.07
San Fernando,23946,21770,90.91
San Francisco,873965,136761,15.65
San Gabriel,39568,9878,24.96
Sanger,26617,21990,82.62
San Geronimo,510,38,7.45
San Jacinto,53898,33013,61.25
San Joaquin,3701,3540,95.65
San Jose,1013240,316266,31.21
San Juan Bautista,2089,1151,55.1
San Juan Capistrano,35196,13704,38.94
San Leandro,91008,25981,28.55
San Lorenzo,29581,12488,42.22
San Lucas,324,302,93.21
San Luis Obispo,47063,8729,18.55
San Marcos,94833,34878,36.78
San Marino,12513,888,7.1
San Martin,7008,3361,47.96
San Mateo,105661,27198,25.74
San Miguel (Contra Costa County),3591,288,8.02
San Miguel (San Luis Obispo County),3172,2010,63.37
San Pablo,32127,19610,61.04
San Pasqual,2101,429,20.42
San Rafael,61271,21038,34.34
San Ramon,84605,7102,8.39
San Simeon,445,296,66.52
Santa Ana,310227,238022,76.73
Santa Barbara,88665,34344,38.73
Santa Clara,127647,22550,17.67
Santa Clarita,228673,78735,34.43
Santa Cruz,62956,15111,24.0
Santa Fe Springs,19219,14626,76.1
Santa Margarita,1291,264,20.45
Santa Maria,109707,83968,76.54
Santa Monica,93076,13544,14.55
Santa Nella,2211,1649,74.58
Santa Paula,30657,25051,81.71
Santa Rosa,178127,61082,34.29
Santa Rosa Valley,3312,397,11.99
Santa Susana,1160,193,16.64
Santa Venetia,4289,1003,23.39
Santa Ynez,4505,731,16.23
Santee,60037,12522,20.86
Saranap,5830,623,10.69
Saratoga,31051,1125,3.62
Saticoy,1133,1002,88.44
Sattley,44,2,4.55
Sausalito,7269,482,6.63
Scotia,681,128,18.8
Scotts Valley,12224,1559,12.75
Seacliff,3280,651,19.85
Seal Beach,25242,3153,12.49
Sea Ranch,1169,101,8.64
Searles Valley,1565,347,22.17
Seaside,32366,15494,47.87
Sebastopol,7521,1080,14.36
Seeley,1729,1533,88.66
Selma,24674,20041,81.22
Sequoia Crest,24,1,4.17
Sereno del Mar,107,7,6.54
Seville,446,419,93.95
Shafter,19953,16017,80.27
Shandon,1168,702,60.1
Shasta,1043,56,5.37
Shasta Lake,10371,942,9.08
Shaver Lake,580,67,11.55
Shell Ridge,1014,73,7.2
Shelter Cove,803,77,9.59
Sheridan,1385,343,24.77
Shingle Springs,4660,617,13.24
Shingletown,2442,161,6.59
Shoshone,22,2,9.09
Sierra Brooks,467,65,13.92
Sierra City,235,30,12.77
Sierra Madre,11268,1923,17.07
Sierra Village,411,27,6.57
Sierraville,239,30,12.55
Signal Hill,11848,4208,35.52
Silverado,932,117,12.55
Silverado Resort,948,64,6.75
Silver City,0,0,N/A
Silver Lakes,6317,1694,26.82
Simi Valley,126356,35921,28.43
Sisquoc,191,57,29.84
Sky Valley,2411,890,36.91
Sleepy Hollow,2401,144,6.0
Smartsville,185,10,5.41
Smith Corner,594,517,87.04
Smith River,906,338,37.31
Snelling,238,38,15.97
Soda Bay,1163,182,15.65
Soda Springs,94,12,12.77
Solana Beach,12941,1853,14.32
Soledad,24925,19789,79.39
Solvang,6126,1835,29.95
Somis,1429,424,29.67
Sonoma,10739,2072,19.29
Sonora,5003,657,13.13
Soquel,9980,1940,19.44
Soulsbyville,2092,264,12.62
South Dos Palos,1747,1470,84.14
South El Monte,19567,15585,79.65
South Gate,92726,88040,94.95
South Lake Tahoe,21330,6558,30.75
South Monrovia Island,6515,4590,70.45
South Oroville,3235,648,20.03
South Pasadena,26943,5584,20.73
South San Francisco,66105,21650,32.75
South San Gabriel,7920,2846,35.93
South San Jose Hills,19855,16517,83.19
South Taft,2100,1385,65.95
South Whittier,56415,45080,79.91
Spaulding,206,14,6.8
Spreckels,692,232,33.53
Spring Garden,19,4,21.05
Spring Valley (Lake County),964,184,19.09
Spring Valley (San Diego County),30998,12509,40.35
Spring Valley Lake,9598,2628,27.38
Springville,967,170,17.58
Squaw Valley,3564,750,21.04
Squirrel Mountain Valley,760,50,6.58
Stallion Springs,3139,517,16.47
Stanford,21150,2447,11.57
Stanton,37962,18807,49.54
Stebbins,1423,1002,70.41
Stevenson Ranch,20178,3629,17.98
Stevinson,275,133,48.36
Stinson Beach,541,29,5.36
Stirling City,284,41,14.44
Stockton,320804,141601,44.14
Stones Landing,86,4,4.65
Stonyford,133,19,14.29
Stratford,1121,970,86.53
Strathmore,2830,2348,82.97
Strawberry (Marin County),5447,493,9.05
Strawberry (Tuolumne County),87,1,1.15
Sugarloaf Saw Mill,14,2,14.29
Sugarloaf Village,7,1,14.29
Suisun City,29518,8585,29.08
Sultana,779,716,91.91
Summerland,1222,160,13.09
Sunnyside,4627,2019,43.64
Sunnyside-Tahoe City,1555,115,7.4
Sunny Slopes,139,12,8.63
Sunnyvale,155805,25372,16.28
Sunol,922,143,15.51
Sun Village,12345,9302,75.35
Susanville,16728,5299,31.68
Sutter,2997,498,16.62
Sutter Creek,2646,312,11.79
Swall Meadows,178,12,6.74
Taft,8546,3724,43.58
Taft Heights,1999,740,37.02
Taft Mosswood,1636,1204,73.59
Tahoe Vista,1392,414,29.74
Tahoma,1034,54,5.22
Talmage,986,366,37.12
Tamalpais-Homestead Valley,11492,843,7.34
Tancred,89,36,40.45
Tara Hills,5364,2205,41.11
Tarina,18,1,5.56
Tarpey Village,3997,1607,40.21
Taylorsville,123,9,7.32
Tecopa,120,6,5.0
Tehachapi,12939,4737,36.61
Tehama,435,104,23.91
Temecula,110003,30366,27.6
Temelec,1500,69,4.6
Temescal Valley,26232,9071,34.58
Temple City,36494,7107,19.47
Templeton,8386,1755,20.93
Tennant,63,5,7.94
Terminous,429,60,13.99
Terra Bella,2910,2639,90.69
Teviston,1185,1079,91.05
Thermal,2676,2530,94.54
Thermalito,7198,804,11.17
Thornton,1004,654,65.14
Thousand Oaks,126966,25260,19.9
Thousand Palms,7967,4734,59.42
Three Rivers,2053,273,13.3
Three Rocks,248,245,98.79
Tiburon,9146,582,6.36
Timber Cove,171,30,17.54
Tipton,2519,2204,87.5
Tobin,19,3,15.79
Tomales,187,14,7.49
Tonyville,329,321,97.57
Tooleville,286,253,88.46
Topanga,8560,759,8.87
Topaz,150,46,30.67
Toro Canyon,1835,347,18.91
Torrance,147067,28080,19.09
Trabuco Canyon,1020,158,15.49
Tracy,93000,35997,38.71
Tranquillity,805,694,86.21
Traver,731,647,88.51
Tres Pinos,443,143,32.28
Trinidad,307,10,3.26
Trinity Center,198,5,2.53
Trinity Village,278,21,7.55
Trona,11,0,0.0
Trowbridge,229,34,14.85
Truckee,16729,3128,18.7
Tulare,68875,43617,63.33
Tulelake,902,677,75.06
Tuolumne City,1798,243,13.52
Tupman,177,24,13.56
Turlock,72740,29965,41.19
Tustin,80276,32712,40.75
Tuttle,102,54,52.94
Tuttletown,787,81,10.29
Twain,75,4,5.33
Twain Harte,2378,189,7.95
Twentynine Palms,28065,6851,24.41
Twin Lakes (Mono County),45,4,8.89
Twin Lakes (Santa Cruz County),4944,1212,24.51
Ukiah,16607,5443,32.78
Union City,70143,15080,21.5
Upland,79040,35190,44.52
Upper Lake,1095,340,31.05
Vacaville,102386,27402,26.76
Valinda,22437,16847,75.09
Vallecito,442,31,7.01
Vallejo,126090,35835,28.42
Valle Vista,16194,6905,42.64
Valley Acres,504,156,30.95
Valley Center,10087,3353,33.24
Valley Ford,148,38,25.68
Valley Home,284,50,17.61
Valley Ranch,128,0,0.0
Valley Springs,3779,690,18.26
Valley Wells,0,0,N/A
Val Verde,2399,1549,64.57
Vandenberg Air Force Base,3559,800,22.48
Vandenberg Village,7308,1915,26.2
Verdi,179,8,4.47
Vernon,222,168,75.68
Victor,313,185,59.11
Victorville,134810,74745,55.44
View Park-Windsor Hills,11419,1098,9.62
Villa Park,5843,724,12.39
Vina,198,68,34.34
Vincent,15714,11853,75.43
Vine Hill,4323,1335,30.88
Vineyard,43935,8426,19.18
Virginia Lakes,7,4,57.14
Visalia,141384,74575,52.75
Vista,98381,49744,50.56
Vista Santa Rosa,2607,2216,85.0
Volcano,104,10,9.62
Volta,366,252,68.85
Walker,704,97,13.78
Wallace,479,60,12.53
Walnut,28430,5324,18.73
Walnut Creek,70127,7304,10.42
Walnut Grove,1452,660,45.45
Walnut Park,15214,14817,97.39
Warm Springs,1586,923,58.2
Warner Valley,8,0,0.0
Wasco,27047,22922,84.75
Washington,101,0,0.0
Waterford,9120,4391,48.15
Waterloo,534,193,36.14
Watsonville,52590,43303,82.34
Waukena,80,48,60.0
Wautec,48,1,2.08
Wawona,111,7,6.31
Weaverville,3667,262,7.14
Weed,2862,550,19.22
Weedpatch,2206,2087,94.61
Weitchpec,112,2,1.79
Weldon,2303,257,11.16
Weott,219,27,12.33
West Athens,9393,4221,44.94
West Bishop,2754,302,10.97
West Carson,22870,7783,34.03
West Covina,109501,58102,53.06
West Goshen,536,416,77.61
Westhaven-Moonstone,1187,106,8.93
West Hollywood,35757,4497,12.58
Westlake Village,8029,651,8.11
Westley,575,542,94.26
West Menlo Park,3930,291,7.4
Westminster,90911,22345,24.58
West Modesto,5965,4223,70.8
Westmont,33913,18395,54.24
Westmorland,2014,1786,88.68
West Park,1053,804,76.35
West Point,688,81,11.77
West Puente Valley,22959,18298,79.7
West Rancho Dominguez,24347,13208,54.25
West Sacramento,53915,17260,32.01
Westside,143,137,95.8
West Whittier-Los Nietos,25325,22370,88.33
Westwood,1541,172,11.16
Wheatland,3712,835,22.49
Whitehawk,144,1,0.69
Whitewater,984,540,54.88
Whitley Gardens,325,86,26.46
Whitmore,311,22,7.07
Whittier,87306,61803,70.79
Wildomar,36875,15075,40.88
Wilkerson,543,84,15.47
Williams,5538,4467,80.66
Williams Canyon,93,20,21.51
Willits,4988,1218,24.42
Willowbrook,24295,19173,78.92
Willow Creek,1720,147,8.55
Willows,6293,2330,37.03
Wilsonia,14,0,0.0
Wilton,5958,1171,19.65
Winchester,3068,1714,55.87
Windsor,26344,8898,33.78
Winter Gardens,22380,5990,26.76
Winterhaven,390,294,75.38
