NAME,P9_001N,P9_002N,HISPANIC_PCT
Winters,7115,3935,55.31
Winton,11709,9294,79.37
Wofford Heights,2213,197,8.9
Woodacre,1410,97,6.88
Woodbridge,4031,1290,32.0
Woodcrest,15378,5680,36.94
Woodlake,7419,6535,88.08
Woodland,61032,29614,48.52
Woodlands,1933,95,4.91
Woodside,5309,404,7.61
Woodville,1680,1522,90.6
Woodville Farm Labor Camp,729,724,99.31
Woody,108,13,12.04
Wrightwood,4720,839,17.78
Yankee Hill,260,32,12.31
Yermo,623,183,29.37
Yettem,201,189,94.03
Yolo,425,302,71.06
Yorba Linda,68336,12269,17.95
Yosemite Lakes,5022,750,14.93
Yosemite Valley,337,43,12.76
Yosemite West,47,15,31.91
Yountville,3436,348,10.13
Yreka,7807,958,12.27
Yuba City,70117,21701,30.95
Yucaipa,54542,18784,34.44
Yucca Valley,21738,5074,23.34
Zayante,729,83,11.39
