NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Calabasas city, California",23241,1954
"Calexico city, California",38633,37548
"California City city, California",14973,5494
"California Hot Springs CDP, California",50,2
"California Pines CDP, California",473,74
"California Polytechnic State University CDP, California",8583,1310
"Calimesa city, California",10026,2894
"Calipatria city, California",6515,4960
"Calistoga city, California",5228,2698
"Callender CDP, California",1282,392
"Calpella CDP, California",799,348
"Calpine CDP, California",223,18
"Calwa CDP, California",1776,1601
"Camanche North Shore CDP, California",1070,150
"Camanche Village CDP, California",964,152
"Camarillo city, California",70741,19356
"Cambria CDP, California",5678,1260
"Cambrian Park CDP, California",3719,626
"Cameron Park CDP, California",18881,2862
"Camino CDP, California",1871,154
"Camino Tassajara CDP, California",4951,282
"Campbell city, California",43959,8424
"Camp Nelson CDP, California",106,3
"Campo CDP, California",2955,1087
"Camp Pendleton Mainside CDP, California",9683,2905
"Camp Pendleton South CDP, California",12468,3590
"Camptonville CDP, California",158,12
"Canby CDP, California",183,12
"Cantua Creek CDP, California",500,468
"Canyondam CDP, California",30,5
"Canyon Lake city, California",11082,1668
"Capitola city, California",9938,2227
"Caribou CDP, California",1,1
"Carlsbad city, California",114746,17302
"Carmel-by-the-Sea city, California",3220,192
"Carmel Valley Village CDP, California",4524,479
"Carmet CDP, California",55,4
"Carmichael CDP, California",79793,11716
"Carnelian Bay CDP, California",518,31
"Carpinteria city, California",13264,6473
"Carrick CDP, California",143,17
"Carson city, California",95558,37643
"Cartago CDP, California",62,19
"Caruthers CDP, California",2613,1930
"Casa Conejo CDP, California",3267,976
"Casa de Oro-Mount Helix CDP, California",19576,4544
"Casa Loma CDP, California",1804,1443
"Casmalia CDP, California",147,63
"Caspar CDP, California",500,55
"Cassel CDP, California",207,14
"Castaic CDP, California",18937,5886
"Castella CDP, California",214,16
"Castle Hill CDP, California",1271,91
"Castro Valley CDP, California",66441,12822
"Castroville CDP, California",7515,6872
"Cathedral City city, California",51493,30893
"Catheys Valley CDP, California",829,115
"Cayucos CDP, California",2505,274
"Cazadero CDP, California",298,19
"Cedar Flat CDP, California",797,33
"Cedar Ridge CDP, California",1235,116
"Cedar Slope CDP, California",10,2
"Cedarville CDP, California",437,76
"Centerville CDP (Fresno County), California",378,136
"Centerville CDP (Shasta County), California",2095,166
"Ceres city, California",49302,31624
"Cerritos city, California",49578,7092
"Chalfant CDP, California",660,55
"Challenge-Brownsville CDP, California",1161,94
"Channel Islands Beach CDP, California",2870,455
"Charleston View CDP, California",45,15
"Charter Oak CDP, California",9739,5600
"Cherokee CDP, California",88,6
