NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Lemon Grove city, California",27627,12850
"Lemon Hill CDP, California",14496,6728
"Lemoore city, California",27038,12971
"Lemoore Station CDP, California",6568,1549
"Lennox CDP, California",20323,18669
"Lenwood CDP, California",3623,1900
"Leona Valley CDP, California",1555,224
"Lewiston CDP, California",1222,70
"Lexington Hills CDP, California",2492,225
"Likely CDP, California",58,3
"Lincoln city, California",49757,10037
"Lincoln Village CDP, California",4401,1779
"Linda CDP, California",21654,7629
"Lindcove CDP, California",189,117
"Linden CDP, California",1863,568
"Lindsay city, California",12659,11267
"Linnell Camp CDP, California",696,691
"Litchfield CDP, California",160,5
"Little Grass Valley CDP, California",25,5
"Little River CDP, California",94,6
"Littlerock CDP, California",1535,1013
"Little Valley CDP, California",84,6
"Live Oak CDP, California",17038,5111
"Live Oak city, California",9106,4508
"Livermore city, California",87955,18978
"Livingston city, California",14172,9936
"Lockeford CDP, California",3333,1163
"Lockwood CDP (Amador County), California",495,45
"Lockwood CDP (Monterey County), California",368,112
"Lodi city, California",66348,25949
"Lodoga CDP, California",184,23
"Loleta CDP, California",828,151
"Loma Linda city, California",24791,6908
"Loma Mar CDP, California",134,14
"Loma Rica CDP, California",2409,293
"Lomita city, California",20921,7691
"Lompico CDP, California",1154,128
"Lompoc city, California",44444,25472
"London CDP, California",1518,1407
"Lone Pine CDP, California",2014,774
"Long Barn CDP, California",162,12
"Long Beach city, California",466742,201997
"Lookout CDP, California",68,6
"Loomis town, California",6836,808
"Los Alamitos city, California",11780,3026
"Los Alamos CDP, California",1839,928
"Los Altos city, California",31625,1538
"Los Altos Hills town, California",8489,334
"Los Angeles city, California",3898747,1829991
"Los Banos city, California",45532,33611
"Los Berros CDP, California",623,141
"Los Gatos town, California",33529,3017
"Los Molinos CDP, California",2098,617
"Los Olivos CDP, California",1202,201
"Los Osos CDP, California",14465,2290
"Los Ranchos CDP, California",1516,125
"Lost Hills CDP, California",2370,2323
"Lower Lake CDP, California",1276,333
"Loyalton city, California",740,127
"Loyola CDP, California",3491,129
"Lucas Valley-Marinwood CDP, California",6259,590
"Lucerne CDP, California",3266,596
"Lucerne Valley CDP, California",5331,1752
"Lynwood city, California",67265,59427
"Lytle Creek CDP, California",725,170
"Mabie CDP, California",181,8
"McArthur CDP, California",334,141
"McClellan Park CDP, California",926,201
"McClenney Tract CDP, California",15,2
"McCloud CDP, California",945,75
"Macdoel CDP, California",86,53
"McFarland city, California",14161,13451
"McGee Creek CDP, California",45,6
"McKinleyville CDP, California",16262,1692
"McKittrick CDP, California",102,25
"McSwain CDP, California",4480,1414
"Madeline CDP, California",21,7
"Madera city, California",66224,53471
"Madera Acres CDP, California",9162,6837
"Madera Ranchos CDP, California",3623,1196
"Madison CDP, California",581,512
"Mad River CDP, California",361,21
"Magalia CDP, California",7795,691
"Malaga CDP, California",884,820
"Malibu city, California",10654,833
"Mammoth Lakes town, California",7191,2395
"Manchester CDP, California",159,44
"Manhattan Beach city, California",35506,3072
"Manila CDP, California",798,83
"Manteca city, California",83498,33892
"Manton CDP, California",310,12
"March ARB CDP, California",809,188
"Maricopa city, California",1026,303
"Marina city, California",22359,7204
"Marina del Rey CDP, California",11373,1121
"Marin City CDP, California",2993,522
"Mariposa CDP, California",1526,208
"Markleeville CDP, California",191,9
"Martell CDP, California",207,31
"Martinez city, California",37287,6670
"Marysville city, California",12844,3771
"Matheny CDP, California",1125,916
"Mather CDP, California",4698,937
"Maxwell CDP, California",1067,654
"Mayfair CDP, California",4831,3361
"Mayflower Village CDP, California",5402,1507
"Maywood city, California",25138,24400
"Meadowbrook CDP, California",3142,1984
"Meadow Valley CDP, California",453,29
"Meadow Vista CDP, California",3263,272
"Mead Valley CDP, California",19819,15607
"Mecca CDP, California",8219,8053
"Meiners Oaks CDP, California",3911,1163
"Mendocino CDP, California",932,73
"Mendota city, California",12595,12169
"Menifee city, California",102527,38749
"Menlo Park city, California",33780,5989
"Mentone CDP, California",9557,3983
"Merced city, California",86333,48617
"Meridian CDP, California",304,64
"Mesa CDP, California",275,31
"Mesa Verde CDP, California",766,540
"Mesa Vista CDP, California",217,18
"Mettler CDP, California",90,64
"Mexican Colony CDP, California",283,261
"Meyers CDP, California",2163,238
"Middletown CDP, California",1114,387
"Midpines CDP, California",379,110
"Midway City CDP, California",8825,2803
"Milford CDP, California",147,3
"Millbrae city, California",23216,2621
"Millerton CDP, California",686,184
"Mill Valley city, California",14231,859
"Millville CDP, California",724,35
"Milpitas city, California",80273,10586
"Mineral CDP, California",136,10
"Minkler CDP, California",867,235
"Mira Monte CDP, California",6618,1410
"Miranda CDP, California",441,68
"Mission Canyon CDP, California",2540,292
"Mission Hills CDP, California",3571,1213
"Mission Viejo city, California",93653,17986
"Mi-Wuk Village CDP, California",935,94
"Modesto city, California",218464,93733
"Modjeska CDP, California",632,102
"Mohawk Vista CDP, California",107,2
"Mojave CDP, California",4699,2000
"Mokelumne Hill CDP, California",691,85
"Monmouth CDP, California",120,81
"Mono City CDP, California",224,45
"Mono Vista CDP, California",3236,474
"Monrovia city, California",37931,14987
"Monson CDP, California",152,130
"Montague city, California",1226,135
"Montalvin Manor CDP, California",3099,2024
"Montara CDP, California",2833,388
"Montclair city, California",37865,27222
"Montebello city, California",62640,49014
"Montecito CDP, California",8638,709
"Monterey city, California",30218,5618
"Monterey Park city, California",61096,16768
"Monterey Park Tract CDP, California",164,121
"Monte Rio CDP, California",1080,76
"Monte Sereno city, California",3479,230
"Montgomery Creek CDP, California",176,13
"Monument Hills CDP, California",1702,487
"Moorpark city, California",36284,12061
"Morada CDP, California",4054,988
"Moraga town, California",16870,1652
"Moreno Valley city, California",208634,128168
"Morgan Hill city, California",45483,15044
"Morongo Valley CDP, California",3514,735
"Morro Bay city, California",10757,1788
"Moskowite Corner CDP, California",237,102
"Moss Beach CDP, California",3214,1089
"Moss Landing CDP, California",237,61
"Mountain Center CDP, California",66,9
"Mountain Gate CDP, California",815,64
"Mountain House CDP, California",24499,3196
"Mountain Meadows CDP, California",303,94
"Mountain Mesa CDP, California",823,84
"Mountain Ranch CDP, California",223,25
"Mountain View CDP, California",2622,669
"Mountain View city, California",82376,14206
"Mountain View Acres CDP, California",3337,2106
"Mt. Bullion CDP, California",154,26
"Mount Hebron CDP, California",103,74
"Mount Hermon CDP, California",1110,129
"Mount Laguna CDP, California",74,9
"Mount Shasta city, California",3223,284
"Muir Beach CDP, California",304,10
"Murphys CDP, California",1995,201
"Murrieta city, California",110949,33925
"Muscoy CDP, California",10719,9476
"Myers Flat CDP, California",90,7
"Myrtletown CDP, California",4882,556
"Napa city, California",79246,31572
"National City city, California",56173,37086
"Needles city, California",4931,1255
"Nevada City city, California",3152,268
"Newark city, California",47529,14360
"Newcastle CDP, California",1321,121
"New Cuyama CDP, California",542,335
"Newell CDP, California",301,181
"Newman city, California",12351,8407
"New Pine Creek CDP, California",87,2
"Newport Beach city, California",85239,8190
"Nicasio CDP, California",81,10
"Nice CDP, California",2929,507
"Nicolaus CDP, California",176,26
"Niland CDP, California",756,561
"Nipinnawasee CDP, California",434,48
"Nipomo CDP, California",18176,8041
"Norco city, California",26316,9494
"Nord CDP, California",286,104
"Norris Canyon CDP, California",1313,43
"North Auburn CDP, California",13452,2519
"North Edwards CDP, California",1054,227
"North El Monte CDP, California",3730,1079
"North Fair Oaks CDP, California",14027,9799
"North Fork CDP, California",3250,385
"North Gate CDP, California",667,68
"North Highlands CDP, California",49327,14402
"North Lakeport CDP, California",3547,801
"North Richmond CDP, California",4175,2833
"North San Juan CDP, California",245,12
"North Shore CDP, California",3585,3472
"North Tustin CDP, California",25718,4480
"Norwalk city, California",102773,73548
"Novato city, California",53225,13615
"Nubieber CDP, California",19,2
"Nuevo CDP, California",6733,4378
"Oakdale city, California",23181,7055
"Oak Glen CDP, California",602,114
"Oak Hills CDP, California",9450,3897
"Oakhurst CDP, California",5945,845
"Oakland city, California",440646,126843
"Oakley city, California",43357,15928
"Oak Park CDP, California",13898,1118
"Oak Run CDP, California",158,13
"Oak Shores CDP, California",316,29
"Oak View CDP, California",6215,1813
"Oakville CDP, California",49,25
"Oasis CDP, California",4468,4280
"Occidental CDP, California",1132,82
"Oceano CDP, California",7183,3359
"Oceanside city, California",174068,63316
"Ocotillo CDP, California",215,37
"Oildale CDP, California",36135,11102
"Ojai city, California",7637,1465
"Olancha CDP, California",131,35
"Olde Stockdale CDP, California",568,41
"Old Fig Garden CDP, California",5477,1840
"Old River CDP, California",123,79
"Old Station CDP, California",64,2
"Old Stine CDP, California",3841,2215
"Olivehurst CDP, California",16595,6705
"Ono CDP, California",93,6
"Ontario city, California",175265,119928
"Onyx CDP, California",457,61
"Orange city, California",139911,57575
"Orange Blossom CDP, California",1068,171
"Orange Cove city, California",9649,9159
"Orangevale CDP, California",35569,4645
"Orcutt CDP, California",32034,10570
"Orick CDP, California",328,30
"Orinda city, California",19514,1285
"Orland city, California",8298,4443
"Orosi CDP, California",8329,7418
"Oroville city, California",20042,3267
"Oroville East CDP, California",8038,908
"Oxnard city, California",202063,150984
"Pacheco CDP, California",4183,1329
"Pacifica city, California",38640,7363
"Pacific Grove city, California",15090,2146
"Pajaro CDP, California",2882,2744
"Pajaro Dunes CDP, California",122,46
"Pala CDP, California",1490,602
"Palermo CDP, California",5555,1401
"Palmdale city, California",169450,104742
"Palm Desert city, California",51163,13315
"Palm Springs city, California",44575,11054
"Palo Alto city, California",68572,5091
"Palo Cedro CDP, California",2931,207
"Palos Verdes Estates city, California",13347,1003
"Palo Verde CDP, California",152,33
"Panorama Heights CDP, California",44,5
"Paradise town, California",4764,419
"Paradise CDP, California",174,15
"Paradise Park CDP, California",367,29
"Paramount city, California",53733,43620
"Parklawn CDP, California",1249,1077
"Parksdale CDP, California",3234,2912
"Parkway CDP, California",15962,7012
"Parkwood CDP, California",2307,1929
"Parlier city, California",14576,14227
"Pasadena city, California",138699,45742
"Pasatiempo CDP, California",1093,85
"Paskenta CDP, California",110,5
"Patterson city, California",23781,14961
"Patterson Tract CDP, California",1888,1301
"Patton Village CDP, California",632,79
"Paxton CDP, California",0,0
"Paynes Creek CDP, California",54,6
"Pearsonville CDP, California",8,2
"Penngrove CDP, California",2637,442
"Penn Valley CDP, California",1593,172
"Penryn CDP, California",1150,117
"Pepperdine University CDP, California",2747,136
"Perris city, California",78700,59571
"Pescadero CDP, California",595,356
"Petaluma city, California",59776,13606
"Petaluma Center CDP, California",709,163
"Peters CDP, California",708,182
"Phelan CDP, California",13859,5364
"Phillipsville CDP, California",124,22
"Philo CDP, California",319,209
"Phoenix Lake CDP, California",4264,352
"Pico Rivera city, California",62088,56249
"Piedmont city, California",11270,729
"Pierpoint CDP, California",59,6
"Pike CDP, California",159,11
"Pine Canyon CDP, California",1871,1207
"Pine Flat CDP, California",206,6
"Pine Grove CDP, California",2891,287
"Pine Hills CDP, California",3186,340
"Pine Mountain Club CDP, California",2422,396
"Pine Mountain Lake CDP, California",2636,217
"Pine Valley CDP, California",1645,235
"Pinole city, California",19022,5093
"Piñon Hills CDP, California",7258,2137
"Pioneer CDP, California",1066,109
"Piru CDP, California",2587,2315
"Pismo Beach city, California",8072,978
"Pittsburg city, California",76416,32300
"Pixley CDP, California",3828,3315
"Placentia city, California",51824,19691
"Placerville city, California",10747,2015
"Plainview CDP, California",846,800
"Planada CDP, California",4164,3858
"Platina CDP, California",13,3
"Pleasant Hill city, California",34613,4957
"Pleasanton city, California",79871,7882
"Pleasure Point CDP, California",5821,1287
"Plumas Eureka CDP, California",334,23
"Plumas Lake CDP, California",8126,1978
"Plymouth city, California",1078,263
"Point Arena city, California",460,141
"Point Reyes Station CDP, California",895,183
"Pollock Pines CDP, California",7112,979
"Pomona city, California",151713,108044
"Ponderosa CDP, California",51,6
"Poplar-Cotton Center CDP, California",2370,1780
"Port Costa CDP, California",190,18
"Porterville city, California",62623,43542
"Port Hueneme city, California",21954,12645
"Portola city, California",2100,402
"Portola Valley town, California",4456,230
"Posey CDP, California",23,2
"Poso Park CDP, California",9,0
"Post Mountain CDP, California",3032,108
"Potomac Park CDP, California",9164,8300
"Potrero CDP, California",648,531
"Potter Valley CDP, California",665,146
"Poway city, California",48841,9017
"Prattville CDP, California",24,0
"Princeton CDP, California",309,93
"Proberta CDP, California",237,90
"Prunedale CDP, California",18885,9869
"Pumpkin Center CDP, California",421,279
"Quartz Hill CDP, California",11447,3988
"Quincy CDP, California",1630,117
"Rackerby CDP, California",210,22
"Rail Road Flat CDP, California",316,28
"Rainbow CDP, California",1884,717
"Raisin City CDP, California",303,266
"Ramona CDP, California",21468,7102
"Rancho Calaveras CDP, California",5590,944
"Rancho Cordova city, California",79332,17119
"Rancho Cucamonga city, California",174453,65261
"Rancho Mirage city, California",16999,2260
"Rancho Mission Viejo CDP, California",10378,1535
"Rancho Murieta CDP, California",5903,617
"Rancho Palos Verdes city, California",42287,4535
"Rancho San Diego CDP, California",21858,3575
"Rancho Santa Fe CDP, California",3156,261
"Rancho Santa Margarita city, California",47949,10297
"Rancho Tehama Reserve CDP, California",1572,413
"Randsburg CDP, California",45,4
"Red Bluff city, California",14710,3597
"Red Corral CDP, California",1687,179
"Redcrest CDP, California",61,0
"Redding city, California",93611,10490
"Redlands city, California",73168,25746
"Redondo Beach city, California",71576,12497
"Redway CDP, California",1247,218
"Redwood City city, California",84292,30104
"Redwood Valley CDP, California",1843,488
"Reedley city, California",25227,19966
"Reliez Valley CDP, California",3354,271
"Rexland Acres CDP, California",3563,3061
"Rialto city, California",104026,77345
"Richfield CDP, California",309,69
"Richgrove CDP, California",2358,2243
"Richmond city, California",116448,51912
"Richvale CDP, California",234,33
"Ridgecrest city, California",27959,6124
"Ridgecrest Heights CDP, California",380,102
"Ridgemark CDP, California",3212,1008
"Rio Dell city, California",3379,487
"Rio del Mar CDP, California",9128,1202
"Rio Linda CDP, California",15944,4278
"Rio Oso CDP, California",372,61
"Rio Vista city, California",10005,1602
"Ripley CDP, California",538,396
"Ripon city, California",16013,3999
"Riverbank city, California",24865,13958
"Riverdale CDP, California",3477,2591
"Riverdale Park CDP, California",1053,688
"Rivergrove CDP, California",195,25
"River Pines CDP, California",390,34
"Riverside city, California",314998,172386
"Robbins CDP, California",347,224
"Robinson Mill CDP, California",89,13
"Rocklin city, California",71601,9944
"Rodeo CDP, California",9653,2859
"Rodriguez Camp CDP, California",133,127
"Rohnert Park city, California",44390,13131
"Rolling Hills city, California",1739,122
"Rolling Hills CDP, California",793,185
"Rolling Hills Estates city, California",8280,640
"Rollingwood CDP, California",3015,2039
"Romoland CDP, California",2005,1173
"Rosamond CDP, California",20961,9025
"Rosedale CDP, California",18639,4425
"Rose Hills CDP, California",2927,1801
"Rosemead city, California",51185,15906
"Rosemont CDP, California",23510,5588
"Roseville city, California",147773,24057
"Ross town, California",2338,130
"Rossmoor CDP, California",10625,1628
"Rough and Ready CDP, California",905,67
"Round Mountain CDP, California",160,14
"Round Valley CDP, California",482,123
"Rouse CDP, California",1913,1377
"Rowland Heights CDP, California",48231,13515
"Rumsey CDP, California",91,15
"Running Springs CDP, California",5268,1062
"Ruth CDP, California",254,8
"Rutherford CDP, California",115,57
"Sacramento city, California",524943,151253
"Sage CDP, California",3370,983
"St. Helena city, California",5430,1863
"Salida CDP, California",13886,7619
"Salinas city, California",163542,130178
"Salmon Creek CDP, California",111,18
"Salton City CDP, California",5155,4120
"Salton Sea Beach CDP, California",508,359
"Salyer CDP, California",389,24
"Samoa CDP, California",229,19
"San Andreas CDP, California",2994,364
"San Anselmo town, California",12830,1180
"San Antonio Heights CDP, California",3441,858
"San Ardo CDP, California",392,310
"San Bernardino city, California",222101,151125
"San Bruno city, California",43908,12282
"San Buenaventura (Ventura) city, California",110763,38902
"San Carlos city, California",30722,3416
"San Clemente city, California",64293,11679
"Sand City city, California",325,96
"San Diego city, California",1386932,411286
"San Diego Country Estates CDP, California",10395,1713
"San Dimas city, California",34924,12945
"San Fernando city, California",23946,21770
"San Francisco city, California",873965,136761
"San Gabriel city, California",39568,9878
"Sanger city, California",26617,21990
"San Geronimo CDP, California",510,38
"San Jacinto city, California",53898,33013
"San Joaquin city, California",3701,3540
"San Jose city, California",1013240,316266
"San Juan Bautista city, California",2089,1151
"San Juan Capistrano city, California",35196,13704
"San Leandro city, California",91008,25981
"San Lorenzo CDP, California",29581,12488
"San Lucas CDP, California",324,302
"San Luis Obispo city, California",47063,8729
"San Marcos city, California",94833,34878
"San Marino city, California",12513,888
"San Martin CDP, California",7008,3361
"San Mateo city, California",105661,27198
"San Miguel CDP (Contra Costa County), California",3591,288
"San Miguel CDP (San Luis Obispo County), California",3172,2010
"San Pablo city, California",32127,19610
"San Pasqual CDP, California",2101,429
"San Rafael city, California",61271,21038
"San Ramon city, California",84605,7102
"San Simeon CDP, California",445,296
"Santa Ana city, California",310227,238022
"Santa Barbara city, California",88665,34344
"Santa Clara city, California",127647,22550
"Santa Clarita city, California",228673,78735
"Santa Cruz city, California",62956,15111
"Santa Fe Springs city, California",19219,14626
"Santa Margarita CDP, California",1291,264
"Santa Maria city, California",109707,83968
"Santa Monica city, California",93076,13544
"Santa Nella CDP, California",2211,1649
"Santa Paula city, California",30657,25051
"Santa Rosa city, California",178127,61082
"Santa Rosa Valley CDP, California",3312,397
"Santa Susana CDP, California",1160,193
"Santa Venetia CDP, California",4289,1003
"Santa Ynez CDP, California",4505,731
"Santee city, California",60037,12522
"Saranap CDP, California",5830,623
"Saratoga city, California",31051,1125
"Saticoy CDP, California",1133,1002
"Sattley CDP, California",44,2
"Sausalito city, California",7269,482
"Scotia CDP, California",681,128
"Scotts Valley city, California",12224,1559
"Seacliff CDP, California",3280,651
"Seal Beach city, California",25242,3153
"Sea Ranch CDP, California",1169,101
"Searles Valley CDP, California",1565,347
"Seaside city, California",32366,15494
"Sebastopol city, California",7521,1080
"Seeley CDP, California",1729,1533
"Selma city, California",24674,20041
"Sequoia Crest CDP, California",24,1
"Sereno del Mar CDP, California",107,7
"Seville CDP, California",446,419
"Shafter city, California",19953,16017
"Shandon CDP, California",1168,702
"Shasta CDP, California",1043,56
"Shasta Lake city, California",10371,942
"Shaver Lake CDP, California",580,67
"Shell Ridge CDP, California",1014,73
"Shelter Cove CDP, California",803,77
"Sheridan CDP, California",1385,343
"Shingle Springs CDP, California",4660,617
"Shingletown CDP, California",2442,161
"Shoshone CDP, California",22,2
"Sierra Brooks CDP, California",467,65
"Sierra City CDP, California",235,30
"Sierra Madre city, California",11268,1923
"Sierra Village CDP, California",411,27
"Sierraville CDP, California",239,30
"Signal Hill city, California",11848,4208
"Silverado CDP, California",932,117
"Silverado Resort CDP, California",948,64
"Silver City CDP, California",0,0
"Silver Lakes CDP, California",6317,1694
"Simi Valley city, California",126356,35921
"Sisquoc CDP, California",191,57
"Sky Valley CDP, California",2411,890
"Sleepy Hollow CDP, California",2401,144
"Smartsville CDP, California",185,10
"Smith Corner CDP, California",594,517
"Smith River CDP, California",906,338
"Snelling CDP, California",238,38
"Soda Bay CDP, California",1163,182
"Soda Springs CDP, California",94,12
"Solana Beach city, California",12941,1853
"Soledad city, California",24925,19789
"Solvang city, California",6126,1835
"Somis CDP, California",1429,424
"Sonoma city, California",10739,2072
"Sonoma State University CDP, California",2679,692
"Sonora city, California",5003,657
"Soquel CDP, California",9980,1940
"Soulsbyville CDP, California",2092,264
"South Dos Palos CDP, California",1747,1470
"South El Monte city, California",19567,15585
"South Gate city, California",92726,88040
"South Lake Tahoe city, California",21330,6558
"South Monrovia Island CDP, California",6515,4590
"South Oroville CDP, California",3235,648
"South Pasadena city, California",26943,5584
"South San Francisco city, California",66105,21650
"South San Gabriel CDP, California",7920,2846
"South San Jose Hills CDP, California",19855,16517
"South Taft CDP, California",2100,1385
"South Whittier CDP, California",56415,45080
"Spaulding CDP, California",206,14
"Spreckels CDP, California",692,232
"Spring Garden CDP, California",19,4
"Spring Valley CDP (Lake County), California",964,184
"Spring Valley CDP (San Diego County), California",30998,12509
"Spring Valley Lake CDP, California",9598,2628
"Springville CDP, California",967,170
"Squaw Valley CDP, California",3564,750
"Squirrel Mountain Valley CDP, California",760,50
"Stallion Springs CDP, California",3139,517
"Stanford CDP, California",21150,2447
"Stanton city, California",37962,18807
"Stebbins CDP, California",1423,1002
"Stevenson Ranch CDP, California",20178,3629
"Stevinson CDP, California",275,133
"Stinson Beach CDP, California",541,29
"Stirling City CDP, California",284,41
"Stockton city, California",320804,141601
"Stones Landing CDP, California",86,4
"Stonyford CDP, California",133,19
"Stratford CDP, California",1121,970
"Strathmore CDP, California",2830,2348
"Strawberry CDP (Marin County), California",5447,493
"Strawberry CDP (Tuolumne County), California",87,1
"Sugarloaf Saw Mill CDP, California",14,2
"Sugarloaf Village CDP, California",7,1
"Suisun City city, California",29518,8585
"Sultana CDP, California",779,716
"Summerland CDP, California",1222,160
"Sunnyside CDP, California",4627,2019
"Sunnyside-Tahoe City CDP, California",1555,115
"Sunny Slopes CDP, California",139,12
"Sunnyvale city, California",155805,25372
"Sunol CDP, California",922,143
"Sun Village CDP, California",12345,9302
"Susanville city, California",16728,5299
"Sutter CDP, California",2997,498
"Sutter Creek city, California",2646,312
"Swall Meadows CDP, California",178,12
"Taft city, California",8546,3724
"Taft Heights CDP, California",1999,740
"Taft Mosswood CDP, California",1636,1204
"Tahoe Vista CDP, California",1392,414
"Tahoma CDP, California",1034,54
"Talmage CDP, California",986,366
"Tamalpais-Homestead Valley CDP, California",11492,843
"Tancred CDP, California",89,36
"Tara Hills CDP, California",5364,2205
"Tarina CDP, California",18,1
"Tarpey Village CDP, California",3997,1607
"Taylorsville CDP, California",123,9
"Tecopa CDP, California",120,6
"Tehachapi city, California",12939,4737
"Tehama city, California",435,104
"Temecula city, California",110003,30366
"Temelec CDP, California",1500,69
"Temescal Valley CDP, California",26232,9071
"Temple City city, California",36494,7107
"Templeton CDP, California",8386,1755
"Tennant CDP, California",63,5
"Terminous CDP, California",429,60
"Terra Bella CDP, California",2910,2639
"Teviston CDP, California",1185,1079
"Thermal CDP, California",2676,2530
"Thermalito CDP, California",7198,804
"Thornton CDP, California",1004,654
"Thousand Oaks city, California",126966,25260
"Thousand Palms CDP, California",7967,4734
"Three Rivers CDP, California",2053,273
"Three Rocks CDP, California",248,245
"Tiburon town, California",9146,582
"Timber Cove CDP, California",171,30
"Tipton CDP, California",2519,2204
"Tobin CDP, California",19,3
"Tomales CDP, California",187,14
"Tonyville CDP, California",329,321
"Tooleville CDP, California",286,253
"Topanga CDP, California",8560,759
"Topaz CDP, California",150,46
"Toro Canyon CDP, California",1835,347
"Torrance city, California",147067,28080
"Trabuco Canyon CDP, California",1020,158
"Tracy city, California",93000,35997
"Tranquillity CDP, California",805,694
"Traver CDP, California",731,647
"Tres Pinos CDP, California",443,143
"Trinidad city, California",307,10
"Trinity Center CDP, California",198,5
"Trinity Village CDP, California",278,21
"Trona CDP, California",11,0
"Trowbridge CDP, California",229,34
"Truckee town, California",16729,3128
"Tulare city, California",68875,43617
"Tulelake city, California",902,677
"Tuolumne City CDP, California",1798,243
"Tupman CDP, California",177,24
"Turlock city, California",72740,29965
"Tustin city, California",80276,32712
"Tuttle CDP, California",102,54
"Tuttletown CDP, California",787,81
"Twain CDP, California",75,4
"Twain Harte CDP, California",2378,189
"Twentynine Palms city, California",28065,6851
"Twin Lakes CDP (Mono County), California",45,4
"Twin Lakes CDP (Santa Cruz County), California",4944,1212
"Ukiah city, California",16607,5443
"Union City city, California",70143,15080
"University of California-Davis CDP, California",8525,1409
"University of California-Merced CDP, California",0,0
"University of California-Santa Barbara CDP, California",9710,1857
"Upland city, California",79040,35190
"Upper Lake CDP, California",1095,340
"Vacaville city, California",102386,27402
"Valinda CDP, California",22437,16847
"Vallecito CDP, California",442,31
"Vallejo city, California",126090,35835
"Valle Vista CDP, California",16194,6905
"Valley Acres CDP, California",504,156
"Valley Center CDP, California",10087,3353
"Valley Ford CDP, California",148,38
"Valley Home CDP, California",284,50
"Valley Ranch CDP, California",128,0
"Valley Springs CDP, California",3779,690
"Valley Wells CDP, California",0,0
"Val Verde CDP, California",2399,1549
"Vandenberg AFB CDP, California",3559,800
"Vandenberg Village CDP, California",7308,1915
"Verdi CDP, California",179,8
"Vernon city, California",222,168
"Victor CDP, California",313,185
"Victorville city, California",134810,74745
"View Park-Windsor Hills CDP, California",11419,1098
"Villa Park city, California",5843,724
"Vina CDP, California",198,68
"Vincent CDP, California",15714,11853
"Vine Hill CDP, California",4323,1335
"Vineyard CDP, California",43935,8426
"Virginia Lakes CDP, California",7,4
"Visalia city, California",141384,74575
"Vista city, California",98381,49744
"Vista Santa Rosa CDP, California",2607,2216
"Volcano CDP, California",104,10
"Volta CDP, California",366,252
"Walker CDP, California",704,97
"Wallace CDP, California",479,60
"Walnut city, California",28430,5324
"Walnut Creek city, California",70127,7304
"Walnut Grove CDP, California",1452,660
"Walnut Park CDP, California",15214,14817
"Warm Springs CDP, California",1586,923
"Warner Valley CDP, California",8,0
"Wasco city, California",27047,22922
"Washington CDP, California",101,0
"Waterford city, California",9120,4391
"Waterloo CDP, California",534,193
"Watsonville city, California",52590,43303
"Waukena CDP, California",80,48
"Wautec CDP, California",48,1
"Wawona CDP, California",111,7
"Weaverville CDP, California",3667,262
"Weed city, California",2862,550
"Weedpatch CDP, California",2206,2087
"Weitchpec CDP, California",112,2
"Weldon CDP, California",2303,257
"Weott CDP, California",219,27
"West Athens CDP, California",9393,4221
"West Bishop CDP, California",2754,302
"West Carson CDP, California",22870,7783
"West Covina city, California",109501,58102
"West Goshen CDP, California",536,416
"Westhaven-Moonstone CDP, California",1187,106
"West Hollywood city, California",35757,4497
"Westlake Village city, California",8029,651
"Westley CDP, California",575,542
"West Menlo Park CDP, California",3930,291
"Westminster city, California",90911,22345
"West Modesto CDP, California",5965,4223
"Westmont CDP, California",33913,18395
"Westmorland city, California",2014,1786
"West Park CDP, California",1053,804
"West Point CDP, California",688,81
"West Puente Valley CDP, California",22959,18298
"West Rancho Dominguez CDP, California",24347,13208
"West Sacramento city, California",53915,17260
"Westside CDP, California",143,137
"West Whittier-Los Nietos CDP, California",25325,22370
"Westwood CDP, California",1541,172
"Wheatland city, California",3712,835
"Whitehawk CDP, California",144,1
"Whitewater CDP, California",984,540
"Whitley Gardens CDP, California",325,86
"Whitmore CDP, California",311,22
"Whittier city, California",87306,61803
"Wildomar city, California",36875,15075
"Wilkerson CDP, California",543,84
"Williams city, California",5538,4467
"Williams Canyon CDP, California",93,20
"Willits city, California",4988,1218
"Willowbrook CDP, California",24295,19173
"Willow Creek CDP, California",1720,147
"Willows city, California",6293,2330
"Wilsonia CDP, California",14,0
"Wilton CDP, California",5958,1171
"Winchester CDP, California",3068,1714
"Windsor town, California",26344,8898
"Winter Gardens CDP, California",22380,5990
"Winterhaven CDP, California",390,294
"Winters city, California",7115,3935
"Winton CDP, California",11709,9294
"Wofford Heights CDP, California",2213,197
"Woodacre CDP, California",1410,97
"Woodbridge CDP, California",4031,1290
"Woodcrest CDP, California",15378,5680
"Woodlake city, California",7419,6535
"Woodland city, California",61032,29614
"Woodlands CDP, California",1933,95
"Woodside town, California",5309,404
"Woodville CDP, California",1680,1522
"Woodville Farm Labor Camp CDP, California",729,724
"Woody CDP, California",108,13
"Wrightwood CDP, California",4720,839
"Yankee Hill CDP, California",260,32
"Yermo CDP, California",623,183
"Yettem CDP, California",201,189
"Yolo CDP, California",425,302
"Yorba Linda city, California",68336,12269
"Yosemite Lakes CDP, California",5022,750
"Yosemite Valley CDP, California",337,43
"Yosemite West CDP, California",47,15
"Yountville city, California",3436,348
"Yreka city, California",7807,958
"Yuba City city, California",70117,21701
"Yucaipa city, California",54542,18784
